"Text","Title","Chapter"
"CHAPTER IV.","A Tale of Two Cities",10
"Congratulatory","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"From the dimly-lighted passages of the court, the last sediment of the","A Tale of Two Cities",10
"human stew that had been boiling there all day, was straining off, when","A Tale of Two Cities",10
"Doctor Manette, Lucie Manette, his daughter, Mr. Lorry, the solicitor","A Tale of Two Cities",10
"for the defence, and its counsel, Mr. Stryver, stood gathered round Mr.","A Tale of Two Cities",10
"Charles Darnay--just released--congratulating him on his escape from","A Tale of Two Cities",10
"death.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"It would have been difficult by a far brighter light, to recognise","A Tale of Two Cities",10
"in Doctor Manette, intellectual of face and upright of bearing, the","A Tale of Two Cities",10
"shoemaker of the garret in Paris. Yet, no one could have looked at him","A Tale of Two Cities",10
"twice, without looking again: even though the opportunity of observation","A Tale of Two Cities",10
"had not extended to the mournful cadence of his low grave voice, and","A Tale of Two Cities",10
"to the abstraction that overclouded him fitfully, without any apparent","A Tale of Two Cities",10
"reason. While one external cause, and that a reference to his long","A Tale of Two Cities",10
"lingering agony, would always--as on the trial--evoke this condition","A Tale of Two Cities",10
"from the depths of his soul, it was also in its nature to arise of","A Tale of Two Cities",10
"itself, and to draw a gloom over him, as incomprehensible to those","A Tale of Two Cities",10
"unacquainted with his story as if they had seen the shadow of the actual","A Tale of Two Cities",10
"Bastille thrown upon him by a summer sun, when the substance was three","A Tale of Two Cities",10
"hundred miles away.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Only his daughter had the power of charming this black brooding from","A Tale of Two Cities",10
"his mind. She was the golden thread that united him to a Past beyond his","A Tale of Two Cities",10
"misery, and to a Present beyond his misery: and the sound of her voice,","A Tale of Two Cities",10
"the light of her face, the touch of her hand, had a strong beneficial","A Tale of Two Cities",10
"influence with him almost always. Not absolutely always, for she could","A Tale of Two Cities",10
"recall some occasions on which her power had failed; but they were few","A Tale of Two Cities",10
"and slight, and she believed them over.","A Tale of Two Cities",10
"","A Tale of Two Cities",10
"Mr. Darnay had kissed her hand fervently and gratefully, and had turned","A Tale of Two Cities",10
"to Mr. Stryver, whom he warmly thanked. Mr. Stryver, a man of little","A Tale of Two Cities",10
