"Date","Site1","Site2","Site3","Site4","Site5","Site6"
2015-01-01,58.6,24.5,55.2,60.3,66,20.2
2015-01-02,65.9,25.5,54.9,65.1,58.2,20
2015-01-03,70.7,27.6,64,57.2,83.4,20.3
2015-01-04,64.8,23.8,50.2,63,67.7,20.3
2015-01-05,81.5,24,54.5,54.5,79.1,20.2
2015-01-06,72.9,23.1,52.6,62.3,69.5,20.3
2015-01-07,63,25.8,53.8,62.7,74.8,20.1
2015-01-08,59.5,24.9,58.8,59.2,72.7,20.3
2015-01-09,60.1,29.8,67.1,68.3,68.5,20.4
2015-01-10,64.2,24.3,44.5,64.6,66.5,20.3
2015-01-11,53.8,28.6,55.4,56.3,76.9,20.2
2015-01-12,52.1,25.5,56.3,53,80,20.2
2015-01-13,53,21.2,52.2,60.8,68.6,20
2015-01-14,62.6,27.1,64.9,63.5,81.2,20.3
2015-01-15,69.2,21.1,56.4,63.2,55.1,20.2
2015-01-16,60.4,30.8,53.8,61.4,66.4,20.1
2015-01-17,76,25.4,62.4,63.7,78.8,20.2
2015-01-18,65.8,23,54.8,65,89.8,20.2
2015-01-19,63.8,29.9,55.4,61,88.5,20.2
2015-01-20,53.1,25.5,62.2,54.6,54.3,20.1
2015-01-21,56.5,30.9,70.7,64.5,74.8,20.3
2015-01-22,58,23.7,51.4,67.3,75.3,20.1
2015-01-23,58.6,26,51.5,60.2,68.1,20
2015-01-24,70.7,26.5,63.5,65.2,68,20.4
2015-01-25,56.7,25.5,61.7,56,68.1,20.1
2015-01-26,55,29.6,68.8,64.2,79.5,20.4
2015-01-27,55.2,26.1,62.4,54.8,71.3,20.3
2015-01-28,61.6,23.2,61.7,58.8,63.8,20.3
2015-01-29,55.7,23.5,42.8,64.7,57.7,20
2015-01-30,64.1,27.5,71.4,66.4,75.4,20.2
2015-01-31,53.1,20.7,41.8,55.7,72.7,20.2
2015-02-01,63.3,28.9,58.2,70,80.5,20.4
2015-02-02,65.4,32.4,54.4,62,86.3,20
2015-02-03,56.7,29.3,59.2,61.4,65.2,20.1
2015-02-04,67.3,21.5,53.1,62.8,64.2,20.1
2015-02-05,49.1,22.8,56.5,47.8,68.5,20.3
2015-02-06,55.1,26,44,61.5,73.2,20.3
2015-02-07,46.5,22.6,43,57,72.3,20.2
2015-02-08,49.1,23.5,47.4,62.5,62.5,19.9
2015-02-09,50.3,24.8,49.9,57.7,78.9,20.1
2015-02-10,62.7,30.1,60,63.3,71.9,20.3
2015-02-11,61.7,28.6,51.3,64.7,71.5,20.2
2015-02-12,58.6,23.2,62.4,61.4,65.8,20.1
2015-02-13,72.1,23.8,64.2,62.5,69.2,20.3
2015-02-14,53.6,26.3,53.5,58.7,65.2,19.9
2015-02-15,71,29.1,61.4,66.4,70.9,20.1
2015-02-16,55.6,25.1,49.5,57,63.5,20.1
2015-02-17,57.5,25.4,46.3,56.7,65.2,20.3
2015-02-18,58.5,27.6,54,58.1,65.6,20.2
2015-02-19,54.5,26.6,51.7,57.9,70.7,20.1
2015-02-20,59,23.1,42.3,64,71,20.2
2015-02-21,55.8,24.4,42.5,62,64.9,20.2
2015-02-22,58.9,20.1,50.2,58.6,47,20.1
2015-02-23,51,25.8,54.9,62.3,76.1,20.1
2015-02-24,56.6,24.4,63.8,66.8,66.8,20.1
2015-02-25,58.6,24.1,53.4,62.9,74.9,20.2
2015-02-26,55.1,22.9,53.5,50.8,61.2,20.1
2015-02-27,65,19.5,58.9,59.6,71.7,20
2015-02-28,55.1,21.2,59.6,56.3,71.7,20.1
2015-03-01,64.9,27.8,56.9,67.6,88,20.4
2015-03-02,58.1,19.7,55,63.1,78.2,20.2
2015-03-03,61.9,21.4,58.1,58.5,81,20.2
2015-03-04,67.6,24.7,58.7,71,82.3,20.3
2015-03-05,56.4,24.1,58.2,61.4,70.5,20.2
2015-03-06,66.5,21.7,50.8,61.3,59.8,20.3
