"Day","Solar","Wind","Coal","Nuclear"
2012-01-01,36400.0919163367,27750.5887508472,275372.67045057,9987.60826936368
2012-01-02,30757.4535827263,23282.9761587193,290021.183671535,9991.33440508683
2012-01-03,38645.5219038999,29048.7769467628,331795.551637572,10006.1431343479
2012-01-04,45205.7856718412,33743.1273027211,338818.75950173,10000.646273159
2012-01-05,34733.8304774955,25747.1171464194,361108.853156043,10014.5635471635
2012-01-06,29798.4974214431,21936.978620718,345346.891250585,9997.06349247739
2012-01-07,35491.3982929554,25949.7921956454,360782.816543986,9995.92590353988
2012-01-08,30967.9411902242,22489.1560619573,332576.784786234,10008.684375545
2012-01-09,28795.0197597118,20770.6406061146,318012.436593589,9998.50591828974
2012-01-10,39687.2702171206,28436.5544101613,359598.310472046,10003.5565902389
2012-01-11,28740.8603516169,20456.9180751464,364524.274087401,10015.217846248
2012-01-12,19242.2225186396,13606.0401235371,330863.793074062,14358.6668056504
2012-01-13,28901.0940125552,20302.4365604807,328575.009139858,10013.0358261284
2012-01-14,41518.4556376605,28977.0147001658,368904.947997096,10005.6323175265
2012-01-15,45739.4762436176,31717.820040677,363779.472620285,9994.68453388961
2012-01-16,31544.6404504064,21734.9405293684,370995.173492247,10000.6809162413
2012-01-17,33122.7300748104,22677.7877327378,456653.599865719,10000.6796404092
2012-01-18,38377.3828902712,26110.3367681957,478470.767433255,10011.4481421927
2012-01-19,22979.7678287609,15536.9619481229,443294.887735821,9998.9086501371
2012-01-20,71046.5845982154,47738.385324487,401138.716745426,9997.1816738089
2012-01-21,32053.9036089523,21405.7342109348,426114.802493281,10011.5852330447
2012-01-22,43251.7906286387,28707.7080693321,410407.875362819,9993.20730671058
2012-01-23,82171.0590484888,54209.9499488933,405887.402890139,9987.52789948585
2012-01-24,42967.5462172518,28176.4810607467,472905.103756582,10005.2360110759
2012-01-25,34130.9549746058,22248.5148629957,411347.067144092,10005.1709353009
2012-01-26,24058.2834455476,15589.918241683,387712.634467831,9987.88860050951
2012-01-27,27151.2727890711,17491.0611485195,424686.976420014,9999.93129509703
2012-01-28,36518.2317795683,23388.5093648361,440408.909475709,10004.0909692138
2012-01-29,32276.6397696,20552.6559536348,392318.323733398,9984.98260787884
2012-01-30,45191.6367478482,28611.7526986331,348900.252061454,9983.64761587713
2012-01-31,26899.0897486372,16933.6498456997,392308.526881095,9992.61446166255
2012-02-01,63524.8129763387,39765.1619617034,381950.926106486,10003.2120550771
2012-02-02,25278.3552949226,15735.2714379772,399970.752589643,9989.42690400437
2012-02-03,44401.6955111439,27485.9445562433,376629.574657264,9999.77186127814
2012-02-04,30934.4691126898,19044.0368913327,376694.024827467,10017.3930074684
2012-02-05,25735.5101498189,15757.0110502219,335203.253959064,10014.8009974055
2012-02-06,41188.7724339748,25082.1073229416,310332.275350697,10007.1660400496
2012-02-07,24383.160843685,14768.5760751992,345595.532036421,9985.60055761676
2012-02-08,50265.5910623077,30283.2250825091,342126.488341809,9997.75274915738
2012-02-09,51443.7547651268,30829.458149511,341755.566875695,9989.83307497571
2012-02-10,56612.7410397227,33749.585185685,385543.400892181,9990.37663548003
2012-02-11,60230.57923385,35719.9937124715,400890.865368269,9996.98798772434
2012-02-12,32503.0763144432,19176.8761808802,336848.308402637,10000.4469132921
2012-02-13,35219.8558209373,20673.7352555037,324683.847796465,10003.5992672554
2012-02-14,24930.7860798068,14560.0940206906,347869.963969132,10614.642394195
2012-02-15,55693.18719457,32362.7854344324,328330.65421,10000.0049974823
2012-02-16,34905.4714214803,20182.3466768374,351918.801347348,9979.19160818275
2012-02-17,41624.5631267058,23948.6384618143,385268.851604966,10017.3602043147
2012-02-18,52252.0788981479,29916.1902796468,393962.687945922,10005.0714482187
2012-02-19,47050.5493412564,26807.5737257486,356322.921107909,10007.6185345399
2012-02-20,45406.3301887688,25746.4746871679,327548.297365997,10000.2072006588
2012-02-21,28240.4239075075,15936.7418214123,342589.936705177,10013.8020680545
2012-02-22,39065.082430302,21941.3003680412,348227.09114872,9996.59570852823
2012-02-23,57111.1213585676,31926.9823080384,344099.880187916,9982.42806480655
2012-02-24,46107.9296311612,25656.3330908464,382722.175774567,9994.48358259379
2012-02-25,57282.044060737,31727.6132461838,370542.367084503,10004.9772973484
2012-02-26,50446.1864874004,27814.1160415977,330239.709115979,9989.22298319773
2012-02-27,32702.1884756921,17949.3942785616,326015.929972285,10003.0051507593
2012-02-28,34249.8020834208,18714.7952747501,372108.479051049,9984.19356638696
2012-03-01,41963.3808559201,22727.8967407095,405978.919799284,10003.3458252076
2012-03-02,51058.0045812708,27533.4243969362,407313.55179239,10016.810916579
2012-03-03,51968.5342241374,27903.7273346437,394985.894821624,9993.49968194179
2012-03-04,49750.0032403245,26598.5472433944,383610.002150174,10016.950774478
2012-03-05,65322.5862896402,34776.7395440395,311558.050804739,9989.33979012768
2012-03-06,30793.6527515629,16325.4427768607,299962.02354155,10014.341319139
2012-03-07,20916.9243925515,11043.2622196698,323509.61498399,25848.1586975462
2012-03-08,33418.6225276194,17571.1980621924,378325.620869587,10001.1427178015
2012-03-09,39045.4648693756,20446.2713426143,391137.826217548,10019.6187400629
2012-03-10,73924.8845279358,38555.135994201,362988.569101261,9997.51674796802
2012-03-11,39203.1985910144,20364.7211257243,368236.939470928,9989.31515445558
2012-03-12,43310.8690875929,22409.7241204624,337667.071177522,10000.4830104469
2012-03-13,35726.8508853068,18413.4095254789,316852.032823709,10023.4539916162
2012-03-14,35065.5788121683,18002.6947036964,357725.735293839,10010.2097668105
2012-03-15,22476.2331644908,11495.137757285,348988.355278323,24661.2611877177
2012-03-16,38503.9345916961,19617.6498004332,360889.877473133,9984.37182072015
2012-03-17,61211.3144737249,31070.0396706849,342583.55480345,10016.8242672152
2012-03-18,38677.9958217654,19559.5686014767,337150.374099066,9993.79326800111
2012-03-19,71909.6345305862,36231.3506734944,283055.498024634,9982.29172539414
2012-03-20,36708.3539058724,18428.1341461971,292657.188505739,10005.6449209518
2012-03-21,37694.9379375846,18855.3818654175,338869.247914101,10009.2639730509
2012-03-22,33017.9876141422,16457.1842764485,339727.880948835,9991.85163836478
2012-03-23,72085.8469272255,35803.4033909659,315676.148708158,9991.9941140094
2012-03-24,49496.786088951,24498.3807065485,337282.153178008,9985.44448347054
2012-03-25,33967.5543862753,16754.3423432894,311110.145272885,9985.66724589881
2012-03-26,46847.3879742225,23028.6152975026,278353.149665846,9989.64050993049
2012-03-27,46675.7498202749,22867.0242643182,264661.265878236,9991.4083124628
2012-03-28,69765.8693884632,34065.423421852,295863.844812781,9993.02939921298
2012-03-29,35147.9576944398,17105.6582723675,314272.943482971,10016.4425603586
2012-03-30,34669.8205694052,16818.0891182664,304656.748770676,9997.32995753784
2012-03-31,64473.5945400425,31175.160655953,277932.120648779,9998.55897743095
2012-04-01,57670.6397445623,27797.1140372178,292286.898898441,9985.00238902572
2012-04-02,36544.9886444964,17559.3007203263,304747.024747638,9993.21429345092
2012-04-03,80472.637133463,38545.91399291,230122.710334779,9998.90001523125
2012-04-04,49562.5478339225,23667.4087863064,301988.124256861,10016.4944002675
2012-04-05,42585.9737260906,20274.3458453048,299503.565814625,10002.2916210247
2012-04-06,35388.5797312445,16797.4265804333,291425.056671435,9990.89922055262
2012-04-07,28050.571004816,13275.0695832378,293044.889624361,15069.2124928215
2012-04-08,31160.9413321025,14704.0593017068,289516.753447951,10051.7218756906
2012-04-09,38257.7741865973,18000.8914359774,255845.14936986,10004.0058625282
2012-04-10,52395.3132893466,24582.7471864644,230718.399022531,10004.9114749659
2012-04-11,60566.386246562,28336.7007547836,268465.183274116,9991.28967961135
2012-04-12,45739.6831008771,21340.5877460168,285645.308792552,10005.973958358
2012-04-13,67682.6184552866,31492.1201513545,280977.996498768,10024.5430961259
2012-04-14,53299.4183870118,24732.8763805956,293394.491166311,10002.0079504391
2012-04-15,33425.3430708054,15469.3224685317,292309.354962729,10005.4910782572
2012-04-16,48773.9869663874,22513.4867001795,255904.032602082,10001.5840984438
2012-04-17,34269.8516529771,15777.6238542805,249542.792035679,9994.8571020877
2012-04-18,78685.6042357098,36133.9372391773,260121.7339532,10003.6021825618
2012-04-19,55626.5695129415,25480.5403309704,291761.129899604,9985.63609326141
2012-04-20,72785.5977108199,33257.8259847677,274697.54568038,9993.17449350056
2012-04-21,35278.1394884657,16080.2127337173,289076.478692515,9998.49848920821
2012-04-22,44493.1314226024,20231.7028195029,289563.814604943,10002.3454929225
2012-04-23,46240.4351672081,20976.3697860661,285484.120306962,9981.40504776831
2012-04-24,28746.6916283704,13010.1054897694,304786.679093969,16326.0718015146
2012-04-25,48923.9593636735,22090.961692214,309301.216719337,10000.4090939407
2012-04-26,72449.2085811306,32639.4077532067,281182.269379752,9967.51158807184
2012-04-27,32718.2743138574,14707.2035972047,301236.423603748,10048.5658675021
2012-04-28,50643.7051520381,22714.9478442372,299507.777114785,9999.34631441295
2012-04-29,48175.3425688279,21561.2075507053,293879.731477396,10006.0728077613
2012-04-30,46530.5508640633,20780.8770178819,261294.155224732,9982.87373313417
2012-05-01,42648.7259907876,19007.479798192,249640.951566292,10008.8909360582
2012-05-02,39968.5356528656,17776.4432910184,306587.913864803,10002.0044531977
2012-05-03,45632.986636343,20254.849734413,312250.448370295,9998.1698809692
2012-05-04,34275.6277590128,15183.5862167905,308423.419286826,10019.7686260402
2012-05-05,56174.6992745079,24836.1227893044,291932.602593878,9999.0487264682
2012-05-06,51501.2001649033,22726.3535203398,284416.769916862,10023.3059560069
2012-05-07,34579.836242292,15230.7030138539,256939.361817798,9979.91630052134
2012-05-08,51507.5450741031,22644.7587766076,230310.109536781,9999.61880330626
2012-05-09,31218.1376095932,13699.94635598,295647.465844608,13540.1532438352
2012-05-10,50534.9350203787,22137.7660228817,301424.116888212,10000.875490811
2012-05-11,66190.0233197066,28945.4280713813,303433.325569116,9995.62210333134
2012-05-12,51928.1062282401,22669.9427466892,293398.791519743,9999.66159788588
2012-05-13,42620.8063901424,18575.7009999487,294430.141235086,10001.328536924
2012-05-14,35307.0186696938,15362.974239132,262569.044424145,9987.2648285112
2012-05-15,39095.6038970133,16984.3121042739,235807.268114473,10006.0524048728
2012-05-16,84857.4750254673,36807.0471856989,245484.647182924,10004.6189691084
2012-05-17,39283.4681914709,17013.2220640349,293149.407345717,9995.3754195379
2012-05-18,51715.6199339256,22363.9944979309,287449.418106542,10004.700955661
2012-05-19,39057.0355890676,16865.2512235961,295518.112975143,9993.7339959858
2012-05-20,70784.3447619468,30521.9048104707,262424.078182661,9988.56586901566
2012-05-21,43566.8152073333,18759.7081779632,250040.779703497,10000.0970671337
2012-05-22,30150.709854802,12965.181605909,239464.885257208,15112.7545012872
2012-05-23,71013.7616656231,30496.4518873544,263961.63689925,9996.94279320529
2012-05-24,64974.9574058819,27867.2075170832,271103.279182353,9994.80960704128
2012-05-25,48848.9728399831,20924.661463157,283326.642164512,10003.876783657
2012-05-26,44896.9488781229,19208.3595914545,293381.279827294,10003.0417978349
2012-05-27,36891.7097494801,15764.7668456065,284442.404762483,9992.44302458378
2012-05-28,73304.0584244504,31288.6603592314,210876.874241184,10009.6810577637
2012-05-29,62234.9400428936,26534.3377029183,209183.750441333,9999.3969888002
2012-05-30,55399.3378494567,23594.3714183101,224913.954198593,10007.0039675332
2012-05-31,46818.113605624,19918.7660672914,291090.519379276,9997.49321283136
2012-06-01,51819.3533335205,22024.1927858722,291619.549633906,9994.87654160224
2012-06-02,48964.3801174009,20790.386321329,290974.705126938,9993.14513913444
2012-06-03,37948.7489657143,16097.8855266899,296846.703429926,10008.1983627355
2012-06-04,50817.8945518221,21537.331169876,285840.708497893,9992.72155541166
2012-06-05,75142.2888159022,31818.3934621082,283486.406423928,10009.9015714879
2012-06-06,66520.273304352,28143.7015462331,356977.300661591,9992.9406451894
2012-06-07,76374.6329645057,32286.7576706463,355701.938073388,10006.1667790003
2012-06-08,65440.7627433044,27643.0837992292,372463.108328806,10014.1953544782
2012-06-09,86757.9529182431,36620.5614145028,361671.468490663,9991.78819605447
2012-06-10,59393.7729972318,25052.3745722597,385190.948032814,9984.76383979406
2012-06-11,96844.0389734118,40821.396956187,292217.516089483,9995.40452999589
2012-06-12,53100.6314750491,22368.4731853826,310117.877792673,10003.0899819825
2012-06-13,53162.3398796602,22380.8780965393,370571.680245491,10003.1927943439
2012-06-14,42145.7102950615,17732.8064947816,379844.446300375,10005.1449221195
2012-06-15,32820.9380076663,13801.9620100625,337918.16754009,13620.0939083092
2012-06-16,57454.8049667606,24148.8584996769,304486.189086191,9989.89367360417
2012-06-17,51109.0204101764,21471.5248551556,294630.948903108,10008.7861021844
2012-06-18,32686.2846884385,13725.8936396058,264637.793939316,13065.9593042504
2012-06-19,70925.0697273059,29771.3985161491,232096.230468022,9994.70053609512
2012-06-20,75379.7423639526,31629.5605769126,293107.240260024,9999.26789507587
2012-06-21,74271.9469841104,31154.2291067869,315322.843074283,10013.6439941743
2012-06-22,58152.1879522862,24385.2152342698,346592.344665296,9986.90843869545
2012-06-23,73876.5440901697,30970.6326193664,337135.736014668,10006.7731389377
2012-06-24,107946.507543134,45242.8243339832,322518.594517287,10007.3925065068
2012-06-25,78648.1845941381,32956.5737294773,334321.26541518,10001.3954989256
2012-06-26,45077.1815765478,18885.8691622145,344078.203395094,10002.9138489228
2012-06-27,71937.3004479604,30135.3234441785,390640.7887029,9988.63588992741
2012-06-28,31985.1423242207,13397.573048035,378982.902539273,15955.03027819
2012-06-29,40491.8596479785,16959.627911231,386149.733901581,9988.36019219974
2012-06-30,64677.3026236306,27088.5570562779,371482.92745538,10001.3210040491
2012-07-01,71733.8143761411,30044.0099504489,341229.669122411,9993.57077755317
2012-07-02,84779.4776397435,35509.072879797,253675.487497118,10005.7139528145
2012-07-03,66205.1430842771,27731.2582084571,265429.700982223,9985.88903751561
2012-07-04,34877.3084743409,14610.486704279,312317.337421539,10388.0020429463
2012-07-05,39879.1956716686,16708.0825687942,339737.811333166,9989.88357465103
2012-07-06,66518.9715720301,27873.9732180164,326661.055138748,9983.94965751215
2012-07-07,62513.0397673132,26200.6297484494,314901.510956138,9996.75159542561
2012-07-08,70753.2415137251,29661.2771555249,309565.901693595,10008.691540575
2012-07-09,50482.7408275923,21169.151910617,304141.100499355,9994.82264224066
2012-07-10,62295.4843075253,26130.5630085353,297566.473164282,9993.53027208884
2012-07-11,67200.3582634666,28197.4670624636,357181.310454582,9991.35845248893
2012-07-12,74383.1524298801,31222.9580089486,384629.423185354,9998.67460787393
2012-07-13,59649.9670418358,25048.7050157716,370853.548004975,10002.8491989715
2012-07-14,60275.498422594,25322.4744311462,360901.863198261,10015.9975192801
2012-07-15,62749.6209081658,26374.3252996217,372329.570387978,9986.76065540434
2012-07-16,79466.2651552366,33417.3987500887,329346.436727439,10000.3107684866
2012-07-17,82659.3625979656,34778.924632419,311517.501007988,9987.04147901767
2012-07-18,59431.6255085246,25020.1922751404,394167.705701972,9991.38803833856
2012-07-19,55692.4910245991,23460.2858291103,398077.26753017,10009.3574308449
2012-07-20,51526.6469234922,21719.3513424471,394581.84892134,9991.06838370292
2012-07-21,23230.7754502149,9798.77281428077,396649.499448781,37793.5801286749
2012-07-22,44169.8333467359,18644.1016683137,398031.900499956,9984.92143227436
2012-07-23,53082.0549542783,22422.5946004356,352677.582815293,9992.5318074575
2012-07-24,51718.8363047091,21863.7192738328,341862.106505974,9997.29990752041
2012-07-25,40148.7428443166,16986.31379485,422244.837814794,9999.6902518591
2012-07-26,31504.1685811662,13340.1849665244,423049.913595338,16979.629115329
2012-07-27,78580.1197430713,33303.3486963767,363381.249937129,10001.0311779911
2012-07-28,37974.6304734727,16108.8644801603,348727.156958348,10003.6054327024
2012-07-29,69967.9336767267,29708.5425723039,333892.881532785,9993.46521872373
2012-07-30,76703.4369670778,32600.3929888707,299937.49831278,10017.2401733169
2012-07-31,52522.037298681,22345.5003578853,318854.415007369,9999.80657893655
2012-08-01,76732.3110220928,32680.0051466374,374146.51633454,10000.13954402
2012-08-02,43718.5972634085,18639.7548207749,410771.719623435,9991.71054618571
2012-08-03,59641.7563041056,25457.1260628152,414663.374915803,9994.09466771283
2012-08-04,77517.7321177329,33125.3005494945,401431.954982648,10004.7918915648
2012-08-05,65220.8537438686,27903.5801513973,381039.797156705,10009.311701279
2012-08-06,63932.1522591475,27385.6043404604,324498.119752442,9998.35577030492
2012-08-07,52406.2457036409,22476.593791232,319980.68702114,9998.37119791403
2012-08-08,70634.9842093553,30333.7880852948,362397.010240559,9998.92286853745
2012-08-09,55403.664152161,23824.2671839169,388774.171387533,10006.8697751943
2012-08-10,47688.2871947048,20534.3986477345,401143.657586057,10018.3182447294
2012-08-11,57316.665802356,24714.6996070456,395828.119724253,9995.24853599623
2012-08-12,55376.3749961921,23912.1188302438,412469.252235434,10023.5862529467
2012-08-13,46914.1306476258,20287.6299466043,381318.134073377,10005.4520443386
2012-08-14,56040.4897398176,24270.4969905837,331819.339128897,9993.47948267212
2012-08-15,41004.4747848791,17785.7476642911,369389.672044214,9976.1783750723
2012-08-16,58090.8282448747,25236.4117435233,360515.23660801,10006.4181708704
2012-08-17,50357.2989220358,21911.7307334581,368139.472159977,10010.3703540399
2012-08-18,48268.1791268688,21037.0318915424,369247.308002741,9996.98541126009
2012-08-19,62923.0029816288,27469.9190602781,388127.248385378,10012.0254237371
2012-08-20,26943.0847411629,11782.4270529343,366195.711140176,23829.9593288813
2012-08-21,63591.1872321124,27857.2995788769,332002.133217133,10010.0316634806
2012-08-22,43045.6957895499,18890.4197472513,348239.008854671,9993.13636296998
2012-08-23,37857.0835349341,16643.4747259093,334299.249708235,10004.9344488309
2012-08-24,41570.8279881162,18309.8881871697,334608.644609127,9995.41641341993
2012-08-25,35348.8626336324,15598.6801507846,352163.804751118,9998.18840345067
2012-08-26,63977.7033326318,28286.009827702,336141.906548956,9988.14941982659
2012-08-27,56707.3339041922,25120.493766368,311673.011060725,9999.83218624516
2012-08-28,61737.3633355618,27403.0062359486,303502.889312538,9997.58877252228
2012-08-29,53494.023963126,23792.0521193953,348769.877941899,9999.59477883536
2012-08-30,45758.8655302313,20393.5918822505,353625.388463281,10000.9661894216
