"ID","Longitude","Latitude"
"Site_1",98.51603,15.69384
"Site_2",98.51938,15.69247
"Site_3",98.52121,15.68879
"Site_4",98.5216,15.69609
"Site_5",98.52269,15.67023
"Site_6",98.52427,15.69171
"Site_7",98.52639,15.65737
"Site_8",98.52749,15.66549
"Site_9",98.52795,15.6946
"Site_10",98.5302,15.68691
"Site_11",98.53575,15.65173
"Site_12",98.53842,15.65415
"Site_13",98.53973,15.68944
"Site_14",98.54293,15.69682
"Site_15",98.54616,15.67582
"Site_16",98.54841,15.64904
"Site_17",98.54883,15.66521
"Site_18",98.55312,15.69338
"Site_19",98.55324,15.6615
"Site_20",98.55541,15.66162
"Site_21",98.56148,15.67206
"Site_22",98.56898,15.65617
"Site_23",98.5696,15.71573
"Site_24",98.5701,15.71102
"Site_25",98.5703,15.7081
"Site_26",98.57044,15.68507
"Site_27",98.57219,15.68822
"Site_28",98.57232,15.65747
"Site_29",98.57287,15.72324
"Site_30",98.57482,15.71189
"Site_31",98.57498,15.72296
"Site_32",98.57616,15.71185
"Site_33",98.57627,15.66672
"Site_34",98.58396,15.67279
"Site_35",98.58409,15.67636
"Site_36",98.58528,15.7235
"Site_37",98.58942,15.67681
"Site_38",98.59013,15.6548
"Site_39",98.59044,15.69477
"Site_40",98.5905,15.68389
"Site_41",98.59051,15.6774
"Site_42",98.59422,15.70841
"Site_43",98.59616,15.73534
"Site_44",98.60275,15.73263
"Site_45",98.60327,15.66431
"Site_46",98.60445,15.73941
"Site_47",98.60648,15.68739
"Site_48",98.60733,15.67537
"Site_49",98.6077,15.69558
"Site_50",98.60999,15.70651
"Site_51",98.6109,15.70956
"Site_52",98.61188,15.7097
"Site_53",98.6136,15.67937
"Site_54",98.61407,15.73445
"Site_55",98.61443,15.70083
"Site_56",98.61772,15.71222
"Site_57",98.62012,15.74279
"Site_58",98.62026,15.74032
"Site_59",98.62102,15.70054
"Site_60",98.6218,15.68856
"Site_61",98.62407,15.70074
"Site_62",98.62504,15.74551
"Site_63",98.62629,15.66177
"Site_64",98.6321,15.68864
"Site_65",98.63272,15.72679
"Site_66",98.63299,15.67839
"Site_67",98.6365,15.69602
"Site_68",98.63697,15.74498
"Site_69",98.63723,15.74303
"Site_70",98.63797,15.69501
"Site_71",98.64102,15.69387
"Site_72",98.6429,15.70133
"Site_73",98.64735,15.70024
"Site_74",98.64744,15.69718
"Site_75",98.64775,15.73803
"Site_76",98.64841,15.73047
"Site_77",98.64875,15.72113
"Site_78",98.6491,15.70958
"Site_79",98.65087,15.72484
"Site_80",98.65124,15.71513
"Site_81",98.65138,15.72408
"Site_82",98.65175,15.69458
"Site_83",98.65261,15.7178
"Site_84",98.65278,15.69827
"Site_85",98.65617,15.73901
"Site_86",98.65746,15.69243
"Site_87",98.66055,15.73499
"Site_88",98.663,15.70144
"Site_89",98.66542,15.71117
"Site_90",98.66622,15.71707
"Site_91",98.66725,15.67426
"Site_92",98.66754,15.67992
"Site_93",98.66755,15.73824
"Site_94",98.67154,15.7323
"Site_95",98.67283,15.73839
"Site_96",98.67339,15.6863
"Site_97",98.67559,15.72849
"Site_98",98.67611,15.69213
"Site_99",98.67616,15.73581
"Site_100",98.68048,15.70145
"Site_101",98.6862,15.69698
"Site_102",98.68796,15.69395
